CAMPAIGN_COUNT,CONTROL_HITS,CONTROL_MISSES,CONTROL_PERCENT,CONTROL_POPULATION,CREATIVE_FORMAT_TYPES,DELTA,EXPOSED_HITS,EXPOSED_MISSES,EXPOSED_PERCENT,EXPOSED_POPULATION,LIFT,METRIC_ID,METRIC_NAME,SIGNIFICANCE_LEVEL,FILTER_ID
1,0,0,0,0,,0.408895534,2188,986,0.408895534,5351,0,1,Unaided Brand Awareness (Any Mention),0,24968925
1,0,0,0,0,,0.233974958,1252,4099,0.233974958,5351,0,109095,Unaided Brand Awareness (First Mention),0,24968925
1,0,0,0,0,,0.564941133,3023,1862,0.564941133,5351,0,239621,Affinity,0,24968925
1,0,0,0,0,,0.732199589,3918,967,0.732199589,5351,0,955548,BA: Makes my life easier,0,24968925
1,0,0,0,0,,0.702298636,3758,1127,0.702298636,5351,0,955549,BA: Has my favorite brands or stores,0,24968925
1,0,0,0,0,,0.603625491,3230,1655,0.603625491,5351,0,955551,BA: Is an essential part of my life,0,24968925
1,0,0,0,0,,0.673332088,3603,1282,0.673332088,5351,0,955555,BA MDS: Meets needs,0,24968925
1,0,0,0,0,,0.660250421,3533,1352,0.660250421,5351,0,955556,BA MDS: Is different,0,24968925
1,0,0,0,0,,0.694823398,3718,1167,0.694823398,5351,0,955557,BA MDS: Sets trends,0,24968925
1,0,0,0,0,,0.809755186,4333,551,0.809755186,5351,0,955558,DashPass Aided Awareness,0,24968925
1,0,0,0,0,,0.310222388,1660,2673,0.310222388,5351,0,955560,DashPass Worth,0,24968925
1,0,0,0,0,,0.614090824,3286,1048,0.614090824,5351,0,955561,DashPass Benefits: Makes members' lives better,0,24968925
1,0,0,0,0,,0.592038871,3168,1166,0.592038871,5351,0,955562,DashPass Benefits: Consistently adds valuable perks and benefits for members,0,24968925
1,0,0,0,0,,0.609045038,3259,1075,0.609045038,5351,0,955563,DashPass Benefits: Saves subscription members more money than non-members who use the delivery service,0,24968925
1,0,0,0,0,,0.567557466,3037,1297,0.567557466,5351,0,955564,DashPass Benefits: Save more than other delivery subscription services,0,24968925
1,0,0,0,0,,0.553167632,2960,1374,0.553167632,5351,0,955565,"DashPass Benefits: Provides more value than other non-delivery subscription services (e.g. TV streaming, audio streaming, fitness, fashion, etc)",0,24968925
1,0,0,0,0,,0.461409082,2469,1865,0.461409082,5351,0,955569,DashPass Benefits Awareness: Max [HBO] subscription included at no extra cost,0,24968925
1,0,0,0,0,,0.480097178,2569,1765,0.480097178,5351,0,955571,DashPass Benefits Awareness: Discounted rides with Lyft,0,24968925
1,0,0,0,0,,0.406092319,2173,3178,0.406092319,5351,0,955925,More than Restaurant Aided Awareness: Fresh Food & Produce,0,24968925
1,0,0,0,0,,0.43935713,2351,3000,0.43935713,5351,0,955937,More than Restaurant Aided Awareness: Packaged Food & Non-Alcoholic Beverages,0,24968925
1,0,0,0,0,,0.377125771,2018,3333,0.377125771,5351,0,955939,More than Restaurant Aided Awareness: Household Essentials,0,24968925
1,0,0,0,0,,0.334890675,1792,3559,0.334890675,5351,0,955941,More than Restaurant Aided Awareness: Baby Supplies,0,24968925
1,0,0,0,0,,0.34965427,1871,3480,0.34965427,5351,0,955943,More than Restaurant Aided Awareness: Health & Medicine,0,24968925
1,0,0,0,0,,0.350401794,1875,3476,0.350401794,5351,0,955945,More than Restaurant Consideration: Fresh Food & Produce,0,24968925
1,0,0,0,0,,0.310409269,1661,3690,0.310409269,5351,0,955949,More than Restaurant Consideration: Personal Care & Beauty,0,24968925
1,0,0,0,0,,0.292655578,1566,3785,0.292655578,5351,0,955951,More than Restaurant Consideration: Flowers,0,24968925
1,0,0,0,0,,0.299383293,1602,3749,0.299383293,5351,0,955953,More than Restaurant Consideration: Pet Supplies,0,24968925
1,0,0,0,0,,0.309848626,1658,3693,0.309848626,5351,0,955954,More than Restaurant Consideration: Health & Medicine,0,24968925
1,0,0,0,0,,0.338067651,1809,3076,0.338067651,5351,0,964358,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP users),0,24968925
1,0,0,0,0,,0.135301813,724,4627,0.135301813,5351,0,964360,DashPass Aided Awareness (DD aware non-users),0,24968925
1,0,0,0,0,,0.374509438,2004,1159,0.374509438,5351,0,964362,Unaided Brand Awareness (Any Mention) - Uber Eats,0,24968925
1,0,0,0,0,,0.221827696,1187,1876,0.221827696,5351,0,964364,Unaided Brand Awareness (Any Mention) - Amazon,0,24968925
1,0,0,0,0,,0.107643431,576,1980,0.107643431,5351,0,964365,Unaided Brand Awareness (Any Mention) - GrubHub,0,24968925
1,0,0,0,0,,0.701924874,3756,1128,0.701924874,5351,0,1022756,Consideration (Top 2 Box),0,24968925
1,0,0,0,0,,0.723229303,3870,1481,0.723229303,5351,0,1059333,More than Restaurant Aided Awareness,0,24968925
1,0,0,0,0,,0.535211268,38,11,0.535211268,71,0,1,Unaided Brand Awareness (Any Mention),0,24968935
1,0,0,0,0,,0.830985916,59,11,0.830985916,71,0,6,Brand Favorability,0,24968935
1,0,0,0,0,,0.718309859,51,19,0.718309859,71,0,239621,Affinity,0,24968935
1,0,0,0,0,,0.85915493,61,9,0.85915493,71,0,955547,BA: Offers a wide selection of brands or stores across a variety of categories,0,24968935
1,0,0,0,0,,0.661971831,47,17,0.661971831,71,0,955567,DashPass Benefits Awareness: Reduced service fees on eligible orders,0,24968935
1,0,0,0,0,,0.633802817,45,19,0.633802817,71,0,955570,DashPass Benefits Awareness: Ability to add someone in your household to your DashPass membership for free,0,24968935
1,0,0,0,0,,0.661971831,47,24,0.661971831,71,0,955924,More than Restaurant Aided Awareness: Prepared Restaurant Food,0,24968935
1,0,0,0,0,,0.436619718,31,40,0.436619718,71,0,955925,More than Restaurant Aided Awareness: Fresh Food & Produce,0,24968935
