CAMPAIGN_COUNT,CONTROL_HITS,CONTROL_MISSES,CONTROL_PERCENT,CONTROL_POPULATION,CREATIVE_FORMAT_TYPES,DELTA,EXPOSED_HITS,EXPOSED_MISSES,EXPOSED_PERCENT,EXPOSED_POPULATION,LIFT,METRIC_ID,METRIC_NAME,SIGNIFICANCE_LEVEL,FILTER_ID,FILTER_NAME,GROUP_NAME
1,0,0,0,0,,0.4088955335,2188,986,0.4088955335,5351,0,1,Unaided Brand Awareness (Any Mention),0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.233974958,1252,4099,0.233974958,5351,0,109095,Unaided Brand Awareness (First Mention),0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.5649411325,3023,1862,0.5649411325,5351,0,239621,Affinity ,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.7321995889,3918,967,0.7321995889,5351,0,955548,BA: Makes my life easier,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.7022986358,3758,1127,0.7022986358,5351,0,955549,BA: Has my favorite brands or stores,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.6036254906,3230,1655,0.6036254906,5351,0,955551,BA: Is an essential part of my life,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.6733320875,3603,1282,0.6733320875,5351,0,955555,BA MDS: Meets needs,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.6602504205,3533,1352,0.6602504205,5351,0,955556,BA MDS: Is different,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.6948233975,3718,1167,0.6948233975,5351,0,955557,BA MDS: Sets trends,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.8097551859,4333,551,0.8097551859,5351,0,955558,DashPass Aided Awareness,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.3102223883,1660,2673,0.3102223883,5351,0,955560,DashPass Worth,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.6140908241,3286,1048,0.6140908241,5351,0,955561,DashPass Benefits: Makes members' lives better,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.5920388712,3168,1166,0.5920388712,5351,0,955562,DashPass Benefits: Consistently adds valuable perks and benefits for members,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.6090450383,3259,1075,0.6090450383,5351,0,955563,DashPass Benefits: Saves subscription members more money than non-members who use the delivery service,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.5675574659,3037,1297,0.5675574659,5351,0,955564,DashPass Benefits: Save more than other delivery subscription services,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.5531676322,2960,1374,0.5531676322,5351,0,955565,"DashPass Benefits: Provides more value than other non-delivery subscription services (e.g. TV streaming, audio streaming, fitness, fashion, etc)",0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.4614090824,2469,1865,0.4614090824,5351,0,955569,DashPass Benefits Awareness: Max [HBO] subscription included at no extra cost,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.4800971781,2569,1765,0.4800971781,5351,0,955571,DashPass Benefits Awareness: Discounted rides with Lyft,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.4060923192,2173,3178,0.4060923192,5351,0,955925,More than Restaurant Aided Awareness: Fresh Food & Produce,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.4393571295,2351,3000,0.4393571295,5351,0,955937,More than Restaurant Aided Awareness: Packaged Food & Non-Alcoholic Beverages,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.3771257709,2018,3333,0.3771257709,5351,0,955939,More than Restaurant Aided Awareness: Household Essentials,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.3348906746,1792,3559,0.3348906746,5351,0,955941,More than Restaurant Aided Awareness: Baby Supplies,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.3496542702,1871,3480,0.3496542702,5351,0,955943,More than Restaurant Aided Awareness: Health & Medicine,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.3504017941,1875,3476,0.3504017941,5351,0,955945,More than Restaurant Consideration: Fresh Food & Produce,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.3104092693,1661,3690,0.3104092693,5351,0,955949,More than Restaurant Consideration: Personal Care & Beauty,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.2926555784,1566,3785,0.2926555784,5351,0,955951,More than Restaurant Consideration: Flowers,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.2993832928,1602,3749,0.2993832928,5351,0,955953,More than Restaurant Consideration: Pet Supplies,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.3098486264,1658,3693,0.3098486264,5351,0,955954,More than Restaurant Consideration: Health & Medicine,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.3380676509,1809,3076,0.3380676509,5351,0,964358,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP users),0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.1353018127,724,4627,0.1353018127,5351,0,964360,DashPass Aided Awareness (DD aware non-users),0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.3745094375,2004,1159,0.3745094375,5351,0,964362,Unaided Brand Awareness (Any Mention) - Uber Eats,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.2218276958,1187,1876,0.2218276958,5351,0,964364,Unaided Brand Awareness (Any Mention) - Amazon,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.1076434311,576,1980,0.1076434311,5351,0,964365,Unaided Brand Awareness (Any Mention) - GrubHub,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.7019248739,3756,1128,0.7019248739,5351,0,1022756,Consideration (Top 2 Box),0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.7232293029,3870,1481,0.7232293029,5351,0,1059333,More than Restaurant Aided Awareness,0,24968925,Creative:  Creative Publisher - The Trade Desk,Creative
1,0,0,0,0,,0.5352112676,38,11,0.5352112676,71,0,1,Unaided Brand Awareness (Any Mention),0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.8309859155,59,11,0.8309859155,71,0,6,Brand Favorability,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.7183098592,51,19,0.7183098592,71,0,239621,Affinity ,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.8591549296,61,9,0.8591549296,71,0,955547,BA: Offers a wide selection of brands or stores across a variety of categories,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.661971831,47,17,0.661971831,71,0,955567,DashPass Benefits Awareness: Reduced service fees on eligible orders,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.6338028169,45,19,0.6338028169,71,0,955570,DashPass Benefits Awareness: Ability to add someone in your household to your DashPass membership for free,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.661971831,47,24,0.661971831,71,0,955924,More than Restaurant Aided Awareness: Prepared Restaurant Food,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.4366197183,31,40,0.4366197183,71,0,955925,More than Restaurant Aided Awareness: Fresh Food & Produce,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.4788732394,34,37,0.4788732394,71,0,955936,More than Restaurant Aided Awareness: Alcoholic Beverages,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.5492957746,39,32,0.5492957746,71,0,955937,More than Restaurant Aided Awareness: Packaged Food & Non-Alcoholic Beverages,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.3943661972,28,43,0.3943661972,71,0,955938,More than Restaurant Aided Awareness: Personal Care & Beauty,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.4929577465,35,36,0.4929577465,71,0,955939,More than Restaurant Aided Awareness: Household Essentials,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.3802816901,27,44,0.3802816901,71,0,955940,More than Restaurant Aided Awareness: Flowers,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.3943661972,28,43,0.3943661972,71,0,955941,More than Restaurant Aided Awareness: Baby Supplies,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.4225352113,30,41,0.4225352113,71,0,955942,More than Restaurant Aided Awareness: Pet Supplies,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.3661971831,26,45,0.3661971831,71,0,955943,More than Restaurant Aided Awareness: Health & Medicine,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.6056338028,43,28,0.6056338028,71,0,955944,More than Restaurant Consideration: Prepared Restaurant Food,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.4225352113,30,41,0.4225352113,71,0,955945,More than Restaurant Consideration: Fresh Food & Produce,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.4084507042,29,42,0.4084507042,71,0,955946,More than Restaurant Consideration: Alcoholic Beverages,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
