_ROW,_FIVETRAN_SYNCED,EXPOSED_,EXPOSED_FILTER,WEIGHT_SET,CONTROL_,EXPOSED_N,LIMITING_FILTER,STATISTICAL_SIGNIFICANCE,FOLDER_NAME,CONTROL_N,LIFT,SID,FILTER,DELTA,METRIC,CONTROL_FILTER,CID
6769,2025-12-03 22:52:49.449000000,0.509,XM Combos (Through 4/30) OLD: 0. ANY Exposed,XM: 0. ANY (3/1/25 - 3/31/25),0.697,550,Timestamp: 3/1/25-3/31/25,,Past Brand Recency - DoorDash,31,-0.269,374821,Several times a week,-0.187,More than Restaurant Aided Awareness: Fresh Food & Produce,XM Combos (Through 4/30) OLD: 0. ANY Control,79821
6173,2025-12-03 22:52:49.445000000,0.701,XM Combos (Through 4/30) OLD: 0. ANY Exposed,XM: 0. ANY (3/1/25 - 3/31/25),0.599,1000,Timestamp: 3/1/25-3/31/25,0.981999882,Gender,131,0.17,374821,Male,0.102,BA: Is an essential part of my life,XM Combos (Through 4/30) OLD: 0. ANY Control,79821
14704,2025-12-03 22:52:49.472000000,0.579,XM Combos (Through 4/30) OLD: 4. Digital Exposed ONLY,XM: 4. Digital ONLY (2/1/25-2/28/25),1,19,Timestamp: 2/1/25-2/28/25,,Past Brand Recency - DoorDash,9,-0.421,374821,Several times a week,-0.421,More than Restaurant Aided Awareness: Prepared Restaurant Food,XM Combos (Through 4/30) OLD: 4. Digital Control ONLY,79821
14545,2025-12-03 22:52:49.472000000,0.318,XM Combos (Through 4/30) OLD: 4. Digital Exposed ONLY,XM: 4. Digital ONLY (2/1/25-2/28/25),0.387,44,Timestamp: 2/1/25-2/28/25,,Past Brand Recency - DoorDash,26,-0.178,374821,I did not use in the past 30 days,-0.069,BA MDS: Is different,XM Combos (Through 4/30) OLD: 4. Digital Control ONLY,79821
22043,2025-12-03 22:52:49.491000000,0.592,XM Combos (Through 6/30): 4. Digital Exposed ONLY,XM: 4. Digital ONLY (4/1/25-6/30/25),0.581,223,Timestamp: 4/1/25-6/30/25,0.183248728,Gender,192,0.019,374821,Male,0.011,BA: Has my favorite brands or stores,XM Combos (Through 6/30): 4. Digital Control ONLY,79821
22480,2025-12-03 22:52:49.492000000,0.474,XM Combos (Through 6/30): 4. Digital Exposed ONLY,XM: 4. Digital ONLY (4/1/25-6/30/25),0.391,133,Timestamp: 4/1/25-6/30/25,0.814612097,Past Brand Recency - DoorDash,120,0.211,374821,I did not use in the past 30 days,0.083,BA MDS: Meets needs,XM Combos (Through 6/30): 4. Digital Control ONLY,79821
29978,2025-12-03 22:52:49.506000000,0.789,XM: 2. Social Exposed,XM: 2. Social (3/1/25 - 3/31/25),0.791,768,Timestamp: 3/1/25-3/31/25,0.040208145,Gender,277,-0.002,374821,Male,-0.001,BA: Makes my life easier,XM: 2. Social Control,79821
39969,2025-12-03 22:52:49.524000000,0.193,XM: 3. TV Exposed,XM: 3. TV (3/1/25 - 3/31/25),0.108,181,Timestamp: 3/1/25-3/31/25,0.957364528,Age,130,0.784,374821,45-54,0.085,DashPass Aided Awareness (DD aware non-users),XM: 3. TV Control,79821
2552,2025-12-03 22:52:49.433000000,0.41,XM Combos (Through 4/30) OLD: 0. ANY Exposed,XM: 0. ANY (2/1/25-2/28/25),0.443,770,Timestamp: 2/1/25-2/28/25,0.378113632,Past Brand Recency - Amazon,61,-0.073,374821,Several times a week,-0.032,More than Restaurant Aided Awareness: Prepared Restaurant Food,XM Combos (Through 4/30) OLD: 0. ANY Control,79821
10487,2025-12-03 22:52:49.460000000,0.739,XM Combos (Through 4/30) OLD: 0. ANY Exposed,XM: 0. ANY (4/1/25-4/30/25),0.673,586,Timestamp: 4/1/25-4/30/25,,Past Brand Recency - Amazon,48,0.099,374821,Several times a week,0.066,More than Restaurant Aided Awareness,XM Combos (Through 4/30) OLD: 0. ANY Control,79821
