StudyID,Weight Set,Control Filter,Exposed Filter,Limiting Filter,FolderName,Filter,Metric,Control %,Exposed %,Delta,Lift,Control N,Exposed N,Statistical Significance,SID,CID
,XM: 0. ANY (2/1/25-2/28/25),XM Combos (Through 4/30) OLD: 0. ANY Control,XM Combos (Through 4/30) OLD: 0. ANY Exposed,Timestamp: 2/1/25-2/28/25,Any,Any,Unaided Brand Awareness (First Mention),19.40%,21.80%,2.40%,12.20%,341,2270,0.679979667,374821,79821
,XM: 0. ANY (2/1/25-2/28/25),XM Combos (Through 4/30) OLD: 0. ANY Control,XM Combos (Through 4/30) OLD: 0. ANY Exposed,Timestamp: 2/1/25-2/28/25,Any,Any,Unaided Brand Awareness (Any Mention),36.30%,36.00%,-0.30%,-0.70%,341,2270,0.076211219,374821,79821
,XM: 0. ANY (2/1/25-2/28/25),XM Combos (Through 4/30) OLD: 0. ANY Control,XM Combos (Through 4/30) OLD: 0. ANY Exposed,Timestamp: 2/1/25-2/28/25,Any,Any,Aided Awareness,90.20%,86.60%,-3.60%,-4.00%,341,2270,0.937479317,374821,79821
,XM: 0. ANY (2/1/25-2/28/25),XM Combos (Through 4/30) OLD: 0. ANY Control,XM Combos (Through 4/30) OLD: 0. ANY Exposed,Timestamp: 2/1/25-2/28/25,Any,Any,Brand Familiarity,74.40%,77.10%,2.70%,3.60%,341,2270,0.72592995,374821,79821
,XM: 0. ANY (2/1/25-2/28/25),XM Combos (Through 4/30) OLD: 0. ANY Control,XM Combos (Through 4/30) OLD: 0. ANY Exposed,Timestamp: 2/1/25-2/28/25,Any,Any,Brand Favorability,69.80%,74.90%,5.10%,7.40%,341,2270,0.956922926,374821,79821
,XM: 0. ANY (2/1/25-2/28/25),XM Combos (Through 4/30) OLD: 0. ANY Control,XM Combos (Through 4/30) OLD: 0. ANY Exposed,Timestamp: 2/1/25-2/28/25,Any,Any,Consideration (Top 2 Box),69.60%,69.80%,0.10%,0.20%,341,2270,0.042594041,374821,79821
,XM: 0. ANY (2/1/25-2/28/25),XM Combos (Through 4/30) OLD: 0. ANY Control,XM Combos (Through 4/30) OLD: 0. ANY Exposed,Timestamp: 2/1/25-2/28/25,Any,Any,First Choice Consideration,19.80%,19.40%,-0.30%,-1.70%,341,2270,0.11947068,374821,79821
,XM: 0. ANY (2/1/25-2/28/25),XM Combos (Through 4/30) OLD: 0. ANY Control,XM Combos (Through 4/30) OLD: 0. ANY Exposed,Timestamp: 2/1/25-2/28/25,Any,Any,Affinity,57.10%,56.70%,-0.40%,-0.70%,341,2270,0.105428631,374821,79821
,XM: 0. ANY (2/1/25-2/28/25),XM Combos (Through 4/30) OLD: 0. ANY Control,XM Combos (Through 4/30) OLD: 0. ANY Exposed,Timestamp: 2/1/25-2/28/25,Any,Any,More than Restaurant Aided Awareness,71.20%,71.50%,0.30%,0.40%,341,2270,0.07944107,374821,79821
,XM: 0. ANY (2/1/25-2/28/25),XM Combos (Through 4/30) OLD: 0. ANY Control,XM Combos (Through 4/30) OLD: 0. ANY Exposed,Timestamp: 2/1/25-2/28/25,Any,Any,More than Restaurant Aided Awareness: Prepared Restaurant Food,55.60%,50.10%,-5.50%,-9.90%,341,2270,0.941227586,374821,79821
,XM: 0. ANY (2/1/25-2/28/25),XM Combos (Through 4/30) OLD: 0. ANY Control,XM Combos (Through 4/30) OLD: 0. ANY Exposed,Timestamp: 2/1/25-2/28/25,Any,Any,More than Restaurant Aided Awareness: Fresh Food & Produce,46.50%,39.00%,-7.40%,-16.00%,341,2270,0.990935741,374821,79821
