METRIC_CLEAN,AVG_LIFT,STD_LIFT,TOTAL_OBSERVATIONS,POSITIVE_LIFT_COUNT,AVG_STD,UNIQUE_CHANNELS,CV,CONSISTENCY_SCORE,CONSISTENCY_LEVEL
Brand Favorability,0.07107421875,0.007390922145531882,4,4,0.28633792069896946,4,0.10398879193493607,0.9623225189622886,High
BA MDS: Meets needs,0.06161588541666667,0.014389420337918884,4,4,0.2562443310004552,4,0.23353426215679512,0.9242714955485816,High
DashPass Benefits: Consistently adds valuable perks and benefits for members,0.06979947916666666,0.016542448608809875,4,4,0.2626593007169459,4,0.23699959951434513,0.9233630796299714,High
Consideration (Top 2 Box),0.05413151041666667,0.013718650720318023,4,4,0.2733881012946413,4,0.25343188495427904,0.9191238429478683,High
DashPass Benefits: Makes members' lives better,0.10180729166666666,0.034266823156966754,4,4,0.30747702704671453,4,0.3365851560923731,0.8992701199596111,High
Brand Familiarity,0.02762890625,0.010099779236985861,4,4,0.22898657308596307,4,0.3655511783781112,0.8929220129816642,High
BA: Offers a wide selection of brands or stores across a variety of categories,0.046959635416666666,0.017342189710742903,4,4,0.206266188750007,4,0.3692999223028019,0.892120077920771,High
DashPass Actions – Talked to others,0.06349869791666667,0.027637602056539194,4,4,0.277113755967485,4,0.43524675250522077,0.8786977216996315,High
BA: Is an essential part of my life,0.09334244791666667,0.04388828867141056,4,4,0.31956698459597854,4,0.470185747759612,0.8720744644746776,High
More than Restaurant Consideration: Personal Care & Beauty,0.13729036458333332,0.06457350288857035,4,4,0.4730102641874995,4,0.4703425698121381,0.872045445879396,High
BA MDS: Sets trends,0.07534114583333333,0.035493095001024294,4,4,0.26981022101314356,4,0.47109842315831907,0.8719056683788942,High
DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP users),0.17943098958333334,0.08763416852482524,4,4,0.506937138778603,4,0.4884004080249761,0.8687448873591601,High
BA: Has my favorite brands or stores,0.03357291666666667,0.016881471131499688,4,4,0.19125356371126956,4,0.5028300430108501,0.8661644953534591,High
More than Restaurant Consideration: Pet Supplies,0.10727343750000001,0.05440255203743445,4,4,0.5574616079384092,4,0.5071390765997822,0.8654035093446251,High
More than Restaurant Consideration: Fresh Food & Produce,0.07018098958333333,0.03606562967210069,4,4,0.5398917726998658,4,0.5138945729637532,0.864219191444038,High
More than Restaurant Consideration: Household Essentials,0.09282552083333334,0.04945497224623201,4,4,0.48198301028111,4,0.5327734420691006,0.8609648556149547,High
BA: Is a brand I trust,0.037381510416666666,0.02022564647779839,4,4,0.24179568298602244,4,0.5410601725921894,0.8595615713870324,High
Affinity,0.08706770833333334,0.0513806563061228,4,4,0.4108470467695579,4,0.5901229892190929,0.8515528689994221,High
Unaided Brand Awareness (Any Mention) - Amazon,0.044742187499999996,0.027203815380436865,4,4,0.5974718108221305,4,0.608012636405783,0.8487542640797132,High
DashPass Benefits Awareness: Reduced service fees on eligible orders,0.09651953125,0.05902381313917039,4,4,0.4285227244258772,4,0.6115219621849375,0.8482125651317038,High
More than Restaurant Aided Awareness: Pet Supplies,0.10219661458333332,0.06378365229461061,4,4,0.5925009082542361,4,0.6241268612924555,0.8462861796902281,High
DashPass Aided Awareness (DD users),0.0199765625,0.012500043764390982,4,4,0.3249830678089607,4,0.6257354719757707,0.8460424877817769,High
More than Restaurant Consideration: Baby Supplies,0.08923177083333333,0.059227556406302034,4,4,0.4394024641494336,4,0.66374964716241,0.8404207872754268,High
BA: Makes my life easier,0.03821484375,0.02710658002556108,4,4,0.20408244624267624,4,0.7093207080183621,0.8340110888048184,High
DashPass Worth,0.204828125,0.15404724846565085,4,4,0.48594262309802905,4,0.7520805478527466,0.8283000062355683,High
DashPass Benefits: Save more than other delivery subscription services,0.08110026041666668,0.06127570829627287,4,4,0.3679261764704165,4,0.7555550127885937,0.8278481717098822,High
More than Restaurant Consideration: Alcoholic Beverages,0.10879947916666666,0.08236624054856205,4,4,0.4580551297410656,4,0.7570462761350877,0.8276547894230002,High
Unaided Brand Awareness (First Mention),0.06571223958333333,0.05217815610917063,4,4,0.5348434198437229,4,0.7940401429021547,0.8229604513491735,High
More than Restaurant Aided Awareness: Baby Supplies,0.11561588541666667,0.09522511632322865,4,4,0.6861070877273504,4,0.823633499670465,0.8193423185482616,High
More than Restaurant Aided Awareness: Household Essentials,0.08637239583333334,0.07793462110473755,4,4,0.49109009712479157,4,0.9023093588271238,0.8102707417928183,High
DashPass Benefits Awareness: Discounted rides with Lyft,0.14107682291666668,0.13194157158616304,4,4,0.4084656932393512,4,0.9352462641159719,0.8066920409133158,High
More than Restaurant Aided Awareness: Alcoholic Beverages,0.09449218749999999,0.0936289050578979,4,4,0.3844509584466357,4,0.9908639807698165,0.8009177944167387,High
"DashPass Benefits: Provides more value than other non-delivery subscription services (e.g. TV streaming, audio streaming, fitness, fashion, etc)",0.0811484375,0.061715852384512,4,3,0.3725049664593822,4,0.7605303846363277,0.7772042581546401,High
DashPass Benefits: Saves subscription members more money than non-members who use the delivery service,0.07105729166666666,0.059675530086116764,4,3,0.30080407780795493,4,0.839822749874252,0.7674122480153804,High
DashPass Benefits Awareness: Access to exclusive deals for DashPass members,0.09375911458333333,0.08127086641946103,4,3,0.3520337731858154,4,0.866804969102255,0.7642698389068248,High
DashPass Benefits Awareness: $0 delivery fees on eligible orders,0.04219921875,0.03701679164119767,4,3,0.25641562663967343,4,0.8771913968477834,0.7630842921354146,High
DashPass Benefits Awareness: Ability to add someone in your household to your DashPass membership for free,0.15655208333333334,0.1435921035501869,4,3,0.4723856688475558,4,0.9172161781101831,0.7586358359411945,High
DashPass Benefits Awareness: $0 delivery fees + 1 Other Benefit,0.05281640625,0.049313453563743996,4,3,0.2549675397899691,4,0.9336768073602886,0.7568598012229615,High
More than Restaurant Consideration: Health & Medicine,0.07659895833333333,0.07838762143909249,4,3,0.46178875431477673,4,1.0233510108319683,0.7476918477607732,High
More than Restaurant Aided Awareness,0.028677083333333332,0.02994609444939341,4,3,0.29411786437123155,4,1.0442517497790655,0.7456706164215002,High
More than Restaurant Consideration,0.05452083333333333,0.05786571421662199,4,3,0.33853417718902235,4,1.0613505091317752,0.7440475422437871,High
More than Restaurant Consideration: Flowers,0.13886588541666667,0.15161550007446184,4,3,0.6875559423643842,4,1.0918124319701703,0.7412217337876995,High
DashPass Actions – Saw a Deal,0.056257812500000004,0.06168740714055922,4,3,0.29188297467728286,4,1.0965127223984974,0.7407930229692972,High
BA MDS: Is different,0.05103515625,0.05686786724819274,4,3,0.3130702131958936,4,1.114288099160914,0.739188975787522,High
Unaided Brand Awareness (Any Mention) - Uber Eats,0.088765625,0.10160024788181862,4,3,0.38998710206302334,4,1.1445900131026918,0.7365158363865077,High
Unaided Brand Awareness (Any Mention) - Instacart,0.09562630208333334,0.12102816371833329,4,3,0.5529400504244307,4,1.2656367660527492,0.7265508072579924,High
DashPass Benefits Awareness: Max [HBO] subscription included at no extra cost,0.16360937499999997,0.2132162931456234,4,3,0.4888683756961932,4,1.3032033961722758,0.7236711575993529,High
More than Restaurant Consideration: Packaged Food & Non-Alcoholic Beverages,0.11415885416666668,0.15833179175624723,4,3,0.5749545354059811,4,1.3869427204051128,0.7175783824138486,High
More than Restaurant Aided Awareness: Flowers,0.08109895833333333,0.13129220489582102,4,3,0.42830332769345014,4,1.6189135790891809,0.7027350895401115,High
Unaided Brand Awareness (Any Mention),0.02429036458333333,0.04126029533923331,4,3,0.47773337356921874,4,1.698628079363773,0.6982234632696418,Medium
DashPass Aided Awareness (DD aware non-users),0.08076822916666666,0.17074324423670167,4,3,0.7617187109296971,4,2.1139901914200694,0.678452556177638,Medium
More than Restaurant Aided Awareness: Fresh Food & Produce,0.054348958333333336,0.10784754211111963,4,2,0.5245518893826627,4,1.9843534341480564,0.6340323821646104,Medium
Aided Awareness,-0.013346354166666668,0.010191852218063112,4,0,0.1268724336955001,4,0.7636431710704848,0.6268032482768102,Medium
Unaided Brand Awareness (Any Mention) - GrubHub,0.06524348958333334,0.21442512584014442,4,2,0.6736454687458713,4,3.286536744271876,0.5933154254502828,Medium
First Choice Consideration,0.014733072916666666,0.04866974942504326,4,2,0.504757006224951,4,3.3034350471439,0.5929490036721878,Medium
More than Restaurant Aided Awareness: Health & Medicine,0.0233828125,0.07889299032566861,4,2,0.399542061105446,4,3.373973525454588,0.5914500276858508,Medium
More than Restaurant Consideration: Prepared Restaurant Food,0.017509114583333332,0.07361299821206138,4,2,0.35047816480227445,4,4.204267318127697,0.5768600026764008,Medium
DashPass Aided Awareness,0.00394140625,0.024917967763418578,4,2,0.2452440045799136,4,6.32210083987627,0.5546291301837301,Medium
More than Restaurant Aided Awareness: Personal Care & Beauty,0.016705729166666673,0.12823345317464227,4,2,0.49088649887227004,4,7.676016526743977,0.5461041076589692,Medium
More than Restaurant Aided Awareness: Packaged Food & Non-Alcoholic Beverages,0.02179557291666667,0.10510966197496391,4,1,0.3421109423535434,4,4.822523471938125,0.5186987355100955,Medium
More than Restaurant Aided Awareness: Prepared Restaurant Food,0.0007552083333333404,0.1181807860353536,4,2,0.2853779226532097,4,156.48766150888056,0.5025398815130507,Medium
DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP aware non-users),0.013772135416666664,0.2252981245484298,4,1,0.5283926137946393,4,16.358982665518965,0.47304282501500167,Medium
