METRIC_NAME,AVG_LIFT,STD_LIFT,TOTAL_OBSERVATIONS,POSITIVE_LIFT_COUNT,AVG_SIGNIFICANCE,UNIQUE_FILTERS,CV,CONSISTENCY_SCORE,CONSISTENCY_LEVEL
DashPass Benefits Awareness: Max [HBO] subscription included at no extra cost,0.01528304387813977,0.14076490407046205,347,100,0.2199219674564749,347,9.210528033084188,0.49681213875119506,Medium
BA: Is an essential part of my life,0.010916271190794526,0.0974291389116067,347,97,0.18431966873345534,347,8.92512994673188,0.4962095203169238,Medium
"DashPass Benefits: Provides more value than other non-delivery subscription services (e.g. TV streaming, audio streaming, fitness, fashion, etc)",0.01347723733402588,0.11985147468488498,347,93,0.18117904192587608,347,8.892881509350353,0.494035418883558,Medium
Affinity ,0.009891767011725073,0.09275177201279064,347,90,0.16891234402784439,347,9.376663633792484,0.49042123452776426,Medium
DashPass Worth,0.02405483047136945,0.2135250809896523,347,85,0.15319706022078963,347,8.876598870392964,0.48949112622523994,Medium
More than Restaurant Consideration: Fresh Food & Produce,0.018001152157578186,0.1648727923116394,347,78,0.17175664202275648,347,9.159013315835491,0.4843306748545806,Medium
Brand Favorability,0.005193707454978444,0.07821566754276223,347,100,0.20338734355234583,347,15.059698340881399,0.4825439556930135,Medium
BA MDS: Sets trends,0.008653100232348705,0.11995915690189483,347,95,0.1899319490742651,347,13.86314195846711,0.48166725338603883,Medium
DashPass Benefits Awareness: Ability to add someone in your household to your DashPass membership for free,0.012005990578669452,0.15684118437984737,347,90,0.17657113474982708,347,13.063577166094118,0.4803154646574404,Medium
DashPass Benefits Awareness: $0 delivery fees on eligible orders,0.006050102291111239,0.10154171850759555,347,100,0.18919737778181556,347,16.78347135663802,0.48012968397938577,Medium
DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP users),0.012440781258558443,0.13731208606275702,347,77,0.15709003473790317,347,11.037255877181773,0.47761056854577727,Medium
DashPass Benefits Awareness: $0 delivery fees + 1 Other Benefit,0.004391986940182996,0.09911734841645146,347,102,0.1802529636085994,347,22.56776938692847,0.4757619570829711,Medium
BA MDS: Is different,0.0041714339607971185,0.09503564622550528,347,86,0.20077956559994234,347,22.782488496436592,0.46638682114508634,Medium
DashPass Aided Awareness (DD aware non-users),0.010743706442546111,0.1627539761287919,347,70,0.163687443049219,347,15.1487735633087,0.4651155042016801,Medium
DashPass Benefits: Save more than other delivery subscription services,0.005260175510348703,0.09644456697391689,347,77,0.1662251158288444,347,18.33485722751549,0.465068427956825,Medium
DashPass Benefits Awareness: Discounted rides with Lyft,0.00839830582055418,0.16097693915403105,347,78,0.1681992798612392,347,19.167787241094853,0.4647903810102592,Medium
DashPass Benefits: Consistently adds valuable perks and benefits for members,0.007960953068649567,0.14495349953382386,347,74,0.16151027580113833,347,18.20805854322322,0.46347588975277465,Medium
DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP aware non-users),0.027506899718105476,0.3282356359583969,347,55,0.13246054995678386,347,11.93284737001266,0.4626292853770809,Medium
Unaided Brand Awareness (Any Mention) - Instacart,0.007040441443235447,0.2225683586012851,347,73,0.15952994863541212,347,31.612841381577265,0.45434003528752986,Medium
First Choice Consideration,0.0035151109602181555,0.14440519939198035,347,73,0.15037043445195966,347,41.081263444104266,0.45158034597755115,Medium
More than Restaurant Consideration: Alcoholic Beverages,0.005471057816449856,0.15230522611532937,347,57,0.1946121021412536,347,27.83835068556441,0.4467234446842371,Medium
BA: Makes my life easier,0.0008784911168783861,0.07525854953690465,347,73,0.16457499000276657,347,85.667968737495,0.44669024322926687,Medium
More than Restaurant Consideration: Household Essentials,0.001811021118401442,0.14845082606699578,347,69,0.1511353459977435,347,81.97078684429194,0.4445904263756155,Medium
DashPass Benefits: Makes members' lives better,0.0025084874094694815,0.11725117865870549,347,61,0.17551226269793083,347,46.74178479672054,0.4435369062639333,Medium
More than Restaurant Consideration: Flowers,0.006767911647575187,0.18705045470094128,347,49,0.17997535179574034,347,27.637839327875664,0.44220960912005497,Medium
More than Restaurant Consideration: Pet Supplies,0.0133091599810951,0.5306841229906234,347,26,0.25506121528164266,347,39.87360011784589,0.4247718586587527,Medium
