_ROW,_FIVETRAN_SYNCED,WEIGHT_SET,CONTROL_FILTER,EXPOSED_FILTER,LIMITING_FILTER,SURVEY_MONTH_START,SURVEY_MONTH_END,SURVEY_MONTH,FOLDER_NAME,FILTER,CONTROL_,EXPOSED_,DELTA,LIFT,CONTROL_N,EXPOSED_N,STATISTICAL_SIGNIFICANCE,SID,CID,survey_month,LIFT_PERCENTAGE,GROUP_NAME
8021,2025-12-03 22:52:49.453000000,XM: 0. ANY (4/1/25-4/30/25),XM Combos (Through 4/30) OLD: 0. ANY Control,XM Combos (Through 4/30) OLD: 0. ANY Exposed,Timestamp: 4/1/25-4/30/25,2025-04-01,2025-04-30,2025-04,Age,18-24,0.282,0.323,0.04,0.143,16,158,,374821,79821,2025-04,0.143,Any
22405,2025-12-03 22:52:49.492000000,XM: 4. Digital ONLY (4/1/25-6/30/25),XM Combos (Through 6/30): 4. Digital Control ONLY,XM Combos (Through 6/30): 4. Digital Exposed ONLY,Timestamp: 4/1/25-6/30/25,2025-04-01,2025-06-30,2025-04,Past Brand Recency - Amazon,Several times a week,0.216,0.304,0.088,0.408,59,69,0.741317269,374821,79821,2025-04,0.408,Digital
34659,2025-12-03 22:52:49.514000000,XM: 2. Social (4/1/25-6/30/25),XM: 2. Social Control,XM: 2. Social Exposed,Timestamp: 4/1/25-6/30/25,2025-04-01,2025-06-30,2025-04,Past Brand Recency - Grubhub,Less than once a week,0.315,0.23,-0.085,-0.269,231,486,0.984779302,374821,79821,2025-04,-0.269,Social
10617,2025-12-03 22:52:49.461000000,XM: 0. ANY (4/1/25-4/30/25),XM Combos (Through 4/30) OLD: 0. ANY Control,XM Combos (Through 4/30) OLD: 0. ANY Exposed,Timestamp: 4/1/25-4/30/25,2025-04-01,2025-04-30,2025-04,Past Brand Recency - DoorDash,Less than once a week,0.39,0.451,0.06,0.155,45,224,,374821,79821,2025-04,0.155,Any
32603,2025-12-03 22:52:49.510000000,XM: 2. Social (4/1/25-6/30/25),XM: 2. Social Control,XM: 2. Social Exposed,Timestamp: 4/1/25-6/30/25,2025-04-01,2025-06-30,2025-04,DashPass Use,Use it now,0.826,0.882,0.056,0.067,500,2306,0.999202927,374821,79821,2025-04,0.067,Social
45804,2025-12-03 22:52:49.534000000,XM: 3. TV (4/1/25-6/30/25),XM: 3. TV Control,XM: 3. TV Exposed,Timestamp: 4/1/25-6/30/25,2025-04-01,2025-06-30,2025-04,Gender,I prefer to self identify,0.0,1.0,1.0,0.0,4,1,,374821,79821,2025-04,0.0,Tv
8798,2025-12-03 22:52:49.455000000,XM: 0. ANY (4/1/25-4/30/25),XM Combos (Through 4/30) OLD: 0. ANY Control,XM Combos (Through 4/30) OLD: 0. ANY Exposed,Timestamp: 4/1/25-4/30/25,2025-04-01,2025-04-30,2025-04,DashPass Use,Use it now,0.541,0.745,0.205,0.379,59,766,0.999312147,374821,79821,2025-04,0.379,Any
9529,2025-12-03 22:52:49.457000000,XM: 0. ANY (4/1/25-4/30/25),XM Combos (Through 4/30) OLD: 0. ANY Control,XM Combos (Through 4/30) OLD: 0. ANY Exposed,Timestamp: 4/1/25-4/30/25,2025-04-01,2025-04-30,2025-04,Ethnicity,Asian,0.755,0.554,-0.201,-0.266,16,65,,374821,79821,2025-04,-0.266,Any
19943,2025-12-03 22:52:49.487000000,XM: 4. Digital ONLY (4/1/25-6/30/25),XM Combos (Through 6/30): 4. Digital Control ONLY,XM Combos (Through 6/30): 4. Digital Exposed ONLY,Timestamp: 4/1/25-6/30/25,2025-04-01,2025-06-30,2025-04,Age,18-24,0.276,0.273,-0.003,-0.011,29,22,,374821,79821,2025-04,-0.011,Digital
31826,2025-12-03 22:52:49.509000000,XM: 2. Social (4/1/25-6/30/25),XM: 2. Social Control,XM: 2. Social Exposed,Timestamp: 4/1/25-6/30/25,2025-04-01,2025-06-30,2025-04,Age,18-24,0.702,0.711,0.01,0.014,115,582,0.164779729,374821,79821,2025-04,0.014,Social
