METRIC_NAME,avg_lift,lift_std_across_time,avg_lift_std,mom_change_std,avg_abs_mom_change,total_observations,cv,stability_score,signal_type
"Delivery Category -  Prepared Restaurant Food (e.g., pizza, Thai food, Mexican food, sushi, etc.)",0.04832795698924731,0.002620165303134041,0.14032759577902734,0.0017905768491336782,0.0025161290322580666,744,0.054216347355983054,0.9485718965637747,Signal
"Delivery Category -  Household Essentials (e.g., paper towels, toilet paper, cleaning supplies, organizers, etc.)",0.049008064516129025,0.00833777077917575,0.16261291124341354,0.003729418023354855,0.008197580645161288,744,0.17013058690435956,0.8546054698437985,Signal
DashPass Use - Heard of it but haven't used it,0.0670255376344086,0.011985672821094868,0.2197480255264164,0.021963078772096675,0.015530241935483871,744,0.17882247937302387,0.8483041488417039,Signal
"Digital Frequency (1, 2-3, 4-9, 10-19, 20+) with Control  - 20+",0.08527688172043009,0.01812794404188104,0.20399355521651272,0.03361038200252831,0.02376612903225806,744,0.21257747323959741,0.8246895741253859,Signal
Past Brand Usage - DoorDash,0.046762096774193546,0.011124544004965703,0.12017934501406119,0.0017791719010500219,0.011100806451612905,744,0.23789660371057123,0.8078219109758596,Signal
"Digital Frequency (1, 2-3, 4-9, 10-19, 20+) with Control  - 4-9",0.046329301075268815,0.01181847501472182,0.20253913266596005,0.026040347712002983,0.018413306451612908,744,0.25509720070071756,0.7967510400323597,Signal
Gender - Prefer not to answer,-0.2970040322580645,0.07807292936952084,0.4954381559462346,0.13979329989836797,0.09884879032258069,744,0.2628682471949872,0.7918482408763895,Signal
"Children in HH -  Yes, age 0-6",0.14242473118279572,0.04000533716940539,0.26763052911873725,0.05638321208856444,0.03986895161290324,744,0.2808875736480088,0.7807086434229102,Signal
Past Brand Recency - Grubhub - I did not use in the past 30 days,0.09555779569892474,0.03000913143994247,0.35402702601418196,0.07002638123363553,0.04951612903225807,744,0.31404168776028124,0.761010863897667,Signal
Past Brand Recency - Uber Eats - I did not use in the past 30 days,0.054329301075268815,0.01787613484193167,0.40750084096939965,0.02735761921566501,0.019344758064516125,744,0.32903303536273626,0.7524267444014795,Signal
Gender - Male,0.0757258064516129,0.02552255128997953,0.1855947857467338,0.02148692218960414,0.02396774193548387,744,0.3370390159699107,0.7479213306835203,Signal
Ethnicity - Black/African American,0.193125,0.06643984429828097,0.4124939586801246,0.16274290667970073,0.11507661290322586,744,0.3440250837451442,0.744033732773414,Signal
Past Brand Usage - Used Competitor but NOT Used DoorDash,0.15687768817204303,0.054237647118408776,0.6722238936274816,0.07789294417433586,0.05507862903225807,744,0.3457320652184011,0.7430899700214161,Signal
"Children in HH -  Yes, age 7-12",0.07798521505376345,0.027279665917369706,0.21618591498336137,0.004350987693914012,0.027221774193548386,744,0.3498056124941497,0.7408474159121443,Signal
Age - 35-44,0.06052016129032258,0.022355415830073125,0.18786194560206906,0.017201512947171132,0.021223790322580646,744,0.36938790897848855,0.730253271146495,Signal
Any - Any,0.046430107526881724,0.01813059466084359,0.12569387340617588,0.004758714587904617,0.018026209677419358,744,0.3904921962618003,0.7191698038208344,Signal
DashPass Use - Used in the past but do not use now,0.07887903225806452,0.03123317549178643,0.20071416811213308,0.06165514934023348,0.04359677419354839,744,0.3959629650323604,0.7163513825575012,Signal
Past Brand Recency - Amazon - Less than once a week,0.0889287634408602,0.03522428609073296,0.2644639648780013,0.00993656101788355,0.03498991935483871,744,0.3960955345359994,0.7162833597432542,Signal
Past Brand Recency - DoorDash - I did not use in the past 30 days,0.2759690860215054,0.1152543764964939,0.6228856760519336,0.09689073644468255,0.10825403225806453,744,0.4176350987643322,0.7054001420193675,Signal
Ethnicity - Hispanic,0.17164919354838712,0.07172163171439448,0.5708772668793947,0.11982038456686886,0.08472580645161291,744,0.4178384426500465,0.70529897477665,Signal
"Delivery Category -  Personal Care &amp; Beauty (e.g., cosmetics/makeup, bath and body, skincare, feminine care, etc.)",0.04123924731182796,0.018008481791919016,0.16276393974973452,0.00921804928861334,0.0176108870967742,744,0.4366830862782005,0.6960477293503539,Uncertain
Past Brand Recency - Grubhub - Less than once a week,0.05142876344086022,0.022491551748616653,0.30327523547511,0.007883670362825824,0.022260080645161294,744,0.43733409562686637,0.695732469606427,Uncertain
Ethnicity - White/Caucasian,0.0404731182795699,0.018492932677369272,0.14945183712490415,0.003099294641732969,0.01844959677419355,744,0.45691889983935763,0.6863800037944883,Uncertain
Past Brand Recency - Instacart - Once a week,0.10776747311827957,0.05086176302018717,0.417563214935313,0.11206787110700506,0.07924395161290324,744,0.47195838919192373,0.6793670305782084,Uncertain
Past Brand Recency - Uber Eats - Several times a week,0.06705645161290323,0.032108267870359426,0.32124172402144535,0.06703543359869725,0.047401209677419356,744,0.47882443967824034,0.676212789814035,Uncertain
DashPass Use - Have not heard of it,0.19923118279569893,0.09599550851473973,0.5913440805170495,0.17481789546326923,0.12361491935483866,744,0.4818297375324929,0.674841363127977,Uncertain
Past Brand Recency - Uber Eats - Once a week,0.07334274193548387,0.03639747978719847,0.30190973964023543,0.05819945007088633,0.041153225806451615,744,0.4962655993856298,0.6683305426594065,Uncertain
"Delivery Category -  Groceries (e.g., dairy, eggs, produce, meat, bread, snacks, pasta, etc.)",0.05709543010752688,0.028341521542587338,0.14616797281807714,0.04499537142703589,0.0318165322580645,744,0.4963886162029469,0.6682755997820125,Uncertain
Delivery Category - None of the above,0.40274596774193555,0.20115203045654254,1.1051411952421237,0.47877686931477376,0.338546370967742,744,0.49945138267761174,0.6669105857999026,Uncertain
