CHANNEL,METRIC_CLEAN,LIFT_mean,LIFT_std,LIFT_count,LIFT_min,LIFT_max,DELTA_mean,DELTA_std,CONTROL__mean,EXPOSED__mean,CONTROL_N_sum,EXPOSED_N_sum,STATISTICAL_SIGNIFICANCE_mean,STATISTICAL_SIGNIFICANCE_min
Any,DashPass Benefits Awareness: Max [HBO] subscription included at no extra cost,0.44835937499999995,0.7592238259020907,192,-1.0,7.054,0.12755729166666666,0.1711682582043479,0.35028125000000004,0.47784895833333335,15289,108034,0.9100731038640777,0.222815024
Any,DashPass Worth,0.388546875,0.5441147937577094,192,-1.0,3.517,0.08361979166666667,0.0938196790214298,0.22797916666666665,0.311578125,15289,108034,0.8545493253137255,0.017597837
Tv,More than Restaurant Consideration: Packaged Food & Non-Alcoholic Beverages,0.34391145833333336,1.203339897264981,192,-1.0,11.423,0.07391145833333333,0.1274139786768314,0.3615625,0.435515625,73537,88668,0.8450310423024692,0.00209051
Tv,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP aware non-users),0.33983854166666666,0.6419339072941915,192,-1.0,4.087,0.019692708333333333,0.12211501894653419,0.1000625,0.11979687500000001,73537,88668,0.6735520367737226,0.026228743
Any,DashPass Benefits Awareness: Ability to add someone in your household to your DashPass membership for free,0.3335416666666667,0.48487834965236964,192,-1.0,2.976,0.11265104166666667,0.16343498026364603,0.4171302083333333,0.5296822916666667,15289,108034,0.8960215402980769,0.061879056
Any,DashPass Benefits Awareness: Discounted rides with Lyft,0.3159427083333333,0.4208714741433545,192,-1.0,2.873,0.11397395833333333,0.1741990326701111,0.38876041666666666,0.5027447916666666,15289,108034,0.9194906024519232,0.101702276
Tv,Unaided Brand Awareness (Any Mention) - GrubHub,0.295609375,0.8068882627741889,192,-1.0,8.165,0.018869791666666667,0.09630029779253124,0.11077083333333333,0.12966666666666668,73537,88668,0.6777981897407408,0.000918207
Any,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP users),0.28421875,0.7246401700027921,192,-1.0,7.802,0.05534895833333334,0.12877724628680684,0.2825052083333333,0.33789583333333334,15289,108034,0.8325531894301076,0.023687659
Any,More than Restaurant Consideration: Flowers,0.2784270833333333,1.4874084863031158,192,-0.75,18.694,0.02583854166666667,0.13785465437152836,0.275671875,0.30153645833333337,15289,108034,0.648778688447619,0.002788786
Tv,DashPass Aided Awareness (DD aware non-users),0.25684375,0.6143542615659052,192,-1.0,4.001,0.0071875,0.11161328267329988,0.08315625,0.090390625,73537,88668,0.6116704136,0.062609401
Tv,More than Restaurant Aided Awareness: Flowers,0.254171875,0.5271926107584882,192,-1.0,5.5,0.060911458333333335,0.1008637953298077,0.3158229166666667,0.37673958333333335,73537,88668,0.8124094448518517,0.018306725
Tv,More than Restaurant Aided Awareness: Baby Supplies,0.25255208333333334,0.7952669724580216,192,-1.0,10.616,0.06875520833333333,0.12198059013891105,0.32097916666666665,0.3897916666666667,73537,88668,0.8162601788148148,0.000752402
Social,DashPass Worth,0.249515625,0.44109453316623193,192,-1.0,4.162,0.07033333333333333,0.10941550247337378,0.2785052083333333,0.3488541666666667,49711,148512,0.8033329787898089,0.001311819
Tv,Unaided Brand Awareness (Any Mention) - Instacart,0.22366666666666668,0.5789329988029415,192,-1.0,4.568,0.03352083333333333,0.11787489855900908,0.205015625,0.2385625,73537,88668,0.6618182845527951,0.000408065
Tv,More than Restaurant Consideration: Flowers,0.217984375,0.41082662776308493,192,-1.0,3.333,0.04847916666666666,0.11246588584957751,0.289828125,0.3382864583333333,73537,88668,0.7991461215987654,0.034517744
Tv,More than Restaurant Consideration: Alcoholic Beverages,0.21794791666666666,0.4050791757599747,192,-1.0,3.333,0.05735416666666667,0.12200446126652677,0.32735416666666667,0.3847291666666666,73537,88668,0.8266995347037037,0.013059476
Tv,More than Restaurant Aided Awareness: Alcoholic Beverages,0.21445833333333333,0.35927652482655825,192,-1.0,3.0,0.06969270833333334,0.12197340860731164,0.3727291666666667,0.44245833333333334,73537,88668,0.8664871063148148,0.055407614
Social,DashPass Benefits Awareness: Max [HBO] subscription included at no extra cost,0.20590104166666667,0.31630266769430243,192,-0.596,2.352,0.09108854166666668,0.1541838756550057,0.44029687500000003,0.53134375,49711,148512,0.8436660628726114,0.010558636
Social,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP users),0.19934375000000001,0.3859027853635017,192,-1.0,2.552,0.04995312500000001,0.08946708359936004,0.3197291666666667,0.3696614583333333,49711,148512,0.7833917813356643,0.045707595
Social,DashPass Benefits Awareness: Ability to add someone in your household to your DashPass membership for free,0.19853125000000002,0.6072489325095856,192,-1.0,5.745,0.074703125,0.16654012421778852,0.5079375,0.5826510416666667,49711,148512,0.808963044866242,0.003847733
Any,Unaided Brand Awareness (Any Mention) - GrubHub,0.19571354166666666,0.9475748191730541,192,-1.0,7.142,-0.007989583333333333,0.11021430763835723,0.11124479166666668,0.103234375,15289,108034,0.48112439480645164,0.001475052
Tv,More than Restaurant Aided Awareness: Household Essentials,0.19433333333333333,0.37365017563515407,192,-1.0,3.0,0.060984375,0.10108963813283349,0.3540260416666667,0.41495312500000003,73537,88668,0.8232442285617284,0.022404871
Tv,More than Restaurant Consideration: Personal Care & Beauty,0.18711458333333333,0.26035715983292124,192,-1.0,1.564,0.052953125,0.07105585805551319,0.28978125,0.3427291666666667,73537,88668,0.8065632450310558,0.027925681
Tv,More than Restaurant Aided Awareness: Packaged Food & Non-Alcoholic Beverages,0.17621875,0.3123859273474272,192,-1.0,3.0,0.06715625,0.12780485190381882,0.42768229166666666,0.49481770833333333,73537,88668,0.8325293002592592,0.058829361
Tv,More than Restaurant Consideration: Baby Supplies,0.174640625,0.34245981308260204,192,-1.0,2.106,0.04228125,0.11457544697594778,0.27790624999999997,0.3201614583333333,73537,88668,0.8011619073518519,0.003194614
Social,More than Restaurant Consideration: Personal Care & Beauty,0.17400000000000002,0.5823161103352893,192,-1.0,4.725,0.03193229166666667,0.128374006106904,0.30282291666666666,0.33479166666666665,49711,148512,0.6204725789811321,0.009634035
Tv,More than Restaurant Aided Awareness: Pet Supplies,0.1737864583333333,0.5877135046817425,192,-1.0,7.282,0.043666666666666666,0.16867277820739907,0.34796354166666665,0.39164062499999996,73537,88668,0.8340997406234568,0.08358775
Any,DashPass Benefits Awareness: Reduced service fees on eligible orders,0.16890625,0.40975463423232816,192,-1.0,3.364,0.08038020833333333,0.16050446071652966,0.5288020833333333,0.6091875,15289,108034,0.794042234854369,0.043333709
Tv,More than Restaurant Consideration: Health & Medicine,0.16763020833333334,0.3453516513088311,192,-1.0,1.296,0.041,0.11837388632359247,0.30304166666666665,0.3440729166666667,73537,88668,0.8011476808695651,0.009612126
Tv,More than Restaurant Aided Awareness: Fresh Food & Produce,0.16688541666666667,0.38681513015535335,192,-1.0,3.215,0.05405729166666667,0.15087941806197686,0.4128958333333333,0.46694270833333335,73537,88668,0.8053690535679012,0.009899793
Any,Unaided Brand Awareness (Any Mention) - Instacart,0.16586458333333334,0.6090711427731476,192,-1.0,3.96,0.015046875000000001,0.10967869729075881,0.19027604166666667,0.205328125,15289,108034,0.5965034678666666,0.006325114
Tv,More than Restaurant Consideration: Pet Supplies,0.16546875,0.32946709162426346,192,-1.0,2.586,0.04878645833333334,0.10626382866070547,0.29391666666666666,0.34269791666666666,73537,88668,0.7647040376172839,0.013091616
Any,DashPass Benefits Awareness: Access to exclusive deals for DashPass members,0.16271875,0.32783504353905074,192,-1.0,2.234,0.08327083333333334,0.17436079096968496,0.5283697916666666,0.6116979166666666,15289,108034,0.8271696145192308,0.043378731
Digital,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP users),0.16116666666666665,0.6126986083240552,192,-1.0,4.326,0.02386458333333333,0.10437915378239132,0.18494791666666666,0.20882291666666666,16012,14533,0.43892716676811594,0.010967396
Social,DashPass Benefits Awareness: Access to exclusive deals for DashPass members,0.160671875,0.4222675160618838,192,-1.0,3.379,0.07577083333333333,0.17002518933595107,0.5898125,0.665609375,49711,148512,0.773228536267516,0.052784077
Digital,DashPass Worth,0.15902604166666667,0.6775619632018659,192,-1.0,3.681,0.010838541666666666,0.11060357953155024,0.15816145833333334,0.16894270833333333,16012,14533,0.4538361719444445,0.000238209
Tv,More than Restaurant Consideration: Household Essentials,0.15475,0.29670984645659004,192,-1.0,1.349,0.04910416666666667,0.09915892148615113,0.30897916666666664,0.3581197916666667,73537,88668,0.7815651082037037,0.000899499
Any,DashPass Benefits: Makes members' lives better,0.15258333333333332,0.23507577776421051,192,-1.0,1.439,0.08355208333333335,0.13649600571734266,0.5561979166666667,0.6397395833333334,15289,108034,0.8506804339223301,0.069909062
Tv,Unaided Brand Awareness (Any Mention) - Uber Eats,0.151859375,0.26509337684235085,192,-1.0,1.902,0.04567708333333333,0.10821676857526565,0.369,0.414671875,73537,88668,0.830920433962963,0.009488506
Social,DashPass Benefits Awareness: Discounted rides with Lyft,0.150328125,0.3763700440987504,192,-1.0,3.876,0.069578125,0.1733961180644387,0.4896979166666667,0.559265625,49711,148512,0.8141719151974522,0.007831401
Tv,More than Restaurant Aided Awareness: Prepared Restaurant Food,0.14646875,0.2751618258987557,192,-1.0,2.195,0.06372395833333333,0.1370973661306313,0.54715625,0.6108854166666667,73537,88668,0.8133302952530864,0.034974486
Any,More than Restaurant Consideration: Personal Care & Beauty,0.14369791666666668,0.5172317195642449,192,-0.802,4.516,0.011859375,0.128932694871926,0.29327604166666665,0.3051041666666667,15289,108034,0.6107797066952381,0.012703505
Tv,More than Restaurant Aided Awareness: Personal Care & Beauty,0.14166145833333335,0.33110886992402494,192,-1.0,3.0,0.04814583333333333,0.1264564970137883,0.35186979166666665,0.4000104166666667,73537,88668,0.7318047758641975,0.013056871
Any,Affinity,0.14055208333333333,0.34207021017144496,192,-1.0,3.129,0.06676041666666667,0.16828694920618148,0.5011249999999999,0.5679166666666667,15289,108034,0.754441203647619,0.013638893
Any,BA: Is an essential part of my life,0.13940104166666667,0.22058425655460306,192,-0.406,1.261,0.08765104166666667,0.14006740374024312,0.5481354166666667,0.6357708333333333,15289,108034,0.8067720596571428,0.034232435
Any,DashPass Benefits: Save more than other delivery subscription services,0.13924479166666667,0.331123484145773,192,-1.0,3.308,0.074703125,0.1634135549390785,0.53396875,0.6086406249999999,15289,108034,0.7795190104326923,0.004992412
Any,Unaided Brand Awareness (Any Mention) - Uber Eats,0.13860416666666667,0.5104076695079098,192,-1.0,3.159,0.007171875000000001,0.15746867598632058,0.3466770833333333,0.35384375,15289,108034,0.515158296352381,0.022996659
Any,DashPass Actions – Saw a Deal,0.138109375,0.45409383156982497,192,-1.0,3.176,0.024901041666666665,0.12255241681835248,0.07658854166666666,0.10145312499999999,1979,20815,0.8630205883125,0.629529725
Any,More than Restaurant Consideration: Pet Supplies,0.13661458333333334,0.6881397165724655,192,-1.0,6.789,0.0013437500000000005,0.11746973125780152,0.2951197916666667,0.29649479166666665,15289,108034,0.5454843253039215,0.005460457
Social,DashPass Aided Awareness (DD aware non-users),0.136375,1.2618419035397406,192,-1.0,13.101,0.004473958333333333,0.1207111534380907,0.09194270833333333,0.09638541666666667,49711,148512,0.6332367841885247,0.010180207
Tv,More than Restaurant Aided Awareness: Health & Medicine,0.131234375,0.3984653312064042,192,-1.0,3.0,0.034354166666666665,0.1261679657624796,0.3530416666666667,0.38740104166666667,73537,88668,0.7302633110308642,0.000873104
Any,DashPass Benefits: Saves subscription members more money than non-members who use the delivery service,0.13009895833333332,0.34577319927840483,192,-1.0,3.97,0.07119791666666667,0.1532889083388644,0.5643020833333333,0.6355625,15289,108034,0.8031521323333334,0.010773493
Digital,Unaided Brand Awareness (First Mention),0.12978645833333333,0.7877202185058402,192,-1.0,7.597,0.004369791666666667,0.11699632483581382,0.19555208333333332,0.19994270833333336,16012,14533,0.5355336893717949,0.009462928
Social,More than Restaurant Consideration: Flowers,0.127796875,0.436630836428242,192,-1.0,3.397,0.022973958333333332,0.13653656990116314,0.308921875,0.33189583333333333,49711,148512,0.5983882688625,0.026021071
Digital,Unaided Brand Awareness (Any Mention) - Uber Eats,0.1275,0.5684636132428812,192,-1.0,3.912,0.018447916666666665,0.13950986527384363,0.34730208333333334,0.36572916666666666,16012,14533,0.5438892578227849,0.000599946
Social,More than Restaurant Aided Awareness: Fresh Food & Produce,0.12527083333333333,0.9529832022952418,192,-1.0,9.044,0.00446875,0.16054484804248403,0.432296875,0.43678645833333335,49711,148512,0.54967272440625,0.001412588
Any,More than Restaurant Consideration: Alcoholic Beverages,0.12525,0.5245407964309534,192,-0.703,4.245,0.0245625,0.1416240737736749,0.31289062500000003,0.33744270833333334,15289,108034,0.5735035027019231,0.003005163
Any,"DashPass Benefits: Provides more value than other non-delivery subscription services (e.g. TV streaming, audio streaming, fitness, fashion, etc)",0.12420312500000001,0.24059613004209016,192,-1.0,1.524,0.060578125000000003,0.15280043495396348,0.5133125,0.573921875,15289,108034,0.7750930389134615,0.018396306
Any,BA MDS: Sets trends,0.12320833333333332,0.19305306308316905,192,-0.389,1.205,0.0834375,0.13376116188684736,0.6269791666666666,0.7104270833333333,15289,108034,0.8062385227403847,0.003334531
Any,More than Restaurant Aided Awareness: Alcoholic Beverages,0.12282291666666667,0.34372616322240457,192,-1.0,1.885,0.035265625,0.15531021908582485,0.34836979166666665,0.3836354166666667,15289,108034,0.6666325171238096,0.00933427
Social,BA: Is an essential part of my life,0.121640625,0.2814174314021601,192,-0.5,2.235,0.06766666666666667,0.1451942311076645,0.620375,0.6880885416666667,49711,148512,0.7433443054654088,0.003629189
Social,DashPass Benefits: Save more than other delivery subscription services,0.117203125,0.44633165114901774,192,-1.0,4.029,0.05911458333333333,0.1795142876544282,0.6056770833333334,0.6647447916666667,49711,148512,0.741079438522293,0.026966351
Tv,More than Restaurant Consideration: Prepared Restaurant Food,0.11680729166666666,0.36299348695202494,192,-1.0,3.215,0.035958333333333335,0.1688507452486653,0.47745312500000003,0.5134427083333334,73537,88668,0.7764781933333333,0.033567469
Social,More than Restaurant Aided Awareness: Personal Care & Beauty,0.111875,0.6965283132073503,192,-1.0,5.596,0.015838541666666667,0.14763471964255367,0.37108854166666666,0.38694791666666667,49711,148512,0.529674148375,0.003224436
Social,More than Restaurant Aided Awareness: Pet Supplies,0.11158333333333333,0.9415064976758225,192,-1.0,11.914,0.006255208333333332,0.166682733000706,0.37121354166666665,0.37740625,49711,148512,0.5085876498124999,0.011299256
Any,DashPass Benefits Awareness: $0 delivery fees + 1 Other Benefit,0.10813020833333332,0.22320253222483705,192,-1.0,1.136,0.057812499999999996,0.16337858341387537,0.557640625,0.615453125,15289,108034,0.7764864106138614,0.004492378
Social,DashPass Benefits Awareness: Reduced service fees on eligible orders,0.10796354166666666,0.28444208958723416,192,-0.635,3.085,0.06202083333333333,0.1445046044786542,0.5845572916666667,0.6465572916666666,49711,148512,0.7494669542038216,0.005339193
Social,"DashPass Benefits: Provides more value than other non-delivery subscription services (e.g. TV streaming, audio streaming, fitness, fashion, etc)",0.10731249999999999,0.37806385544747806,192,-1.0,3.867,0.054526041666666664,0.16873508264167383,0.578578125,0.6331145833333334,49711,148512,0.748860776299363,0.003929391
Digital,More than Restaurant Aided Awareness: Pet Supplies,0.104796875,0.5465657995007559,192,-1.0,2.733,0.007848958333333335,0.17910157724802775,0.2791354166666667,0.28702083333333334,16012,14533,0.4751854279230769,0.000818426
Social,Affinity,0.10367708333333335,0.5637275528281606,192,-1.0,6.897,0.03954166666666667,0.15272196389124681,0.5823697916666667,0.6219166666666667,49711,148512,0.675779340275,0.011344056
Tv,"DashPass Benefits: Provides more value than other non-delivery subscription services (e.g. TV streaming, audio streaming, fitness, fashion, etc)",0.103515625,0.46563948007984834,192,-1.0,5.479,0.04028125,0.14347338284075423,0.5821614583333333,0.6223697916666667,73537,88668,0.8209996310625,0.017352237
Tv,More than Restaurant Consideration,0.10272395833333332,0.4483538849219036,192,-1.0,4.69,0.041234375,0.14522624438525591,0.67925,0.7204010416666667,73537,88668,0.8002883377160495,0.053285315
Social,More than Restaurant Aided Awareness: Baby Supplies,0.10244791666666668,0.6938766411147174,192,-1.0,7.609,0.0045312500000000006,0.12870473966831603,0.3568854166666667,0.36139583333333336,49711,148512,0.55357931134375,0.004044962
Social,BA MDS: Is different,0.10235937499999999,0.4821352931014879,192,-1.0,5.574,0.04420833333333333,0.16041571756932357,0.6792395833333332,0.7234427083333334,49711,148512,0.68080777763522,0.001055056
Digital,DashPass Actions – Talked to others,0.097828125,0.3150650172086982,192,-1.0,1.391,0.00890625,0.06182835184300999,0.055578125,0.06446875,9041,8343,0.6817305494,0.07710455
Digital,DashPass Benefits Awareness: Discounted rides with Lyft,0.09704166666666668,0.5119367683604119,192,-1.0,3.177,0.007374999999999999,0.15337079935320422,0.3015833333333333,0.30893750000000003,16012,14533,0.4357363592857143,0.011053758
Tv,DashPass Benefits Awareness: Ability to add someone in your household to your DashPass membership for free,0.09603125,0.43947230262837605,192,-1.0,3.338,0.036083333333333335,0.16175190534603154,0.5360364583333334,0.5720729166666666,73537,88668,0.65506575323125,0.023246775
Social,More than Restaurant Consideration: Fresh Food & Produce,0.09496354166666666,0.5513087937792992,192,-0.833,4.739,0.017593750000000002,0.15077847403719236,0.36391666666666667,0.38148437500000004,49711,148512,0.52990078609375,0.00093678
Any,More than Restaurant Consideration: Household Essentials,0.092125,0.736535049798142,192,-0.639,8.304,-0.013135416666666669,0.11600894709958932,0.3298229166666667,0.3167760416666667,15289,108034,0.5595643498349515,0.00803937
Social,More than Restaurant Aided Awareness: Flowers,0.09191145833333335,0.355334835785164,192,-1.0,2.326,0.021817708333333335,0.1091168886633935,0.33609375,0.3579270833333333,49711,148512,0.5498593243018868,0.005583364
Tv,More than Restaurant Consideration: Fresh Food & Produce,0.0918125,0.39449836428568846,192,-1.0,3.267,0.021515624999999997,0.12444637511049232,0.36585937500000004,0.3873697916666667,73537,88668,0.6458916936604938,0.012687246
Any,BA MDS: Is different,0.0913125,0.2222888697686789,192,-0.8,1.565,0.05736458333333333,0.15240038337968756,0.6236666666666667,0.6810208333333333,15289,108034,0.7591767487549019,0.000664048
Digital,More than Restaurant Consideration: Household Essentials,0.09074479166666667,0.4759939421432004,192,-1.0,3.099,0.020901041666666665,0.16210353358580276,0.238078125,0.259015625,16012,14533,0.4427608628333334,0.004957513
Social,DashPass Benefits: Makes members' lives better,0.08989583333333334,0.2800856630056089,192,-1.0,1.895,0.04540625,0.1494389211849492,0.6377083333333333,0.6831302083333334,49711,148512,0.6885005961910828,0.003196688
